词汇,频次
融资,3724
这个,3518
垃圾,3094
下跌,3051
上涨,2873
一个,2859
大笑,2647
大家,2616
中国,2601
继续,2455
珍惜,2336
这么,2268
同比,2124
不是,2112
不会,1996
开始,1972
不要,1953
一下,1945
今年,1848
股市,1813
股息,1755
还有,1750
证券,1748
净利润,1741
交易,1719
机会,1712
知道,1696
年月日,1651
发展,1646
不能,1593
天天,1580
我们,1567
行情,1555
业务,1544
目前,1536
量化,1529
关注,1506
你们,1500
第一,1497
一直,1492
下降,1486
价值,1458
看看,1432
万股,1421
发布,1384
持续,1378
市值,1360
问题,1358
余额,1353
连续,1350
成本,1321
每股,1279
实现,1271
那么,1262
以上,1260
利润,1248
出来,1233
以下,1224
情况,1199
本行,1194
只有,1193
贷款,1191
披露,1179
招商银行,1174
上市,1171
时间,1133
一年,1116
数据,1104
一点,1098
真的,1096
个股,1075
卖出,1073
希望,1060
左右,1053
倒数,1042
筹码,1037
一天,1028
资本,1024
未来,1019
底部,1006
大涨,1004
管理,1003
创新,1000
收入,989
大跌,984
利率,975
起来,974
预期,974
影响,970
有限公司,968
股通,965
出现,954
其他,950
长期,950
今日,944
价格,935
赚钱,932
企业,928
一一,918
下午,912
